DeltaSVMScore,Label
0.000000,0
0.331381,0
0.211852,0
0.000000,0
1.855678,0
-1.993069,0
-3.279372,1
0.000000,0
0.904204,0
-4.299638,0
-0.680498,0
0.963999,0
1.035868,0
0.000000,1
0.000000,1
1.612913,0
-0.630018,0
0.000000,0
-1.102089,0
-0.714345,0
0.000000,0
0.000000,1
-0.651300,0
0.000000,0
9.549837,1
0.000000,0
0.000000,0
0.000000,0
-2.883340,1
-0.376802,0
0.258365,1
-2.230038,0
-0.224625,0
0.000000,0
0.000000,0
-1.101921,0
0.000000,0
-2.085742,0
-0.652369,0
0.638583,0
-1.256788,1
0.000000,1
-0.518865,0
-1.380499,0
0.086073,0
-0.778589,0
0.000000,0
0.000000,0
1.438414,0
0.024215,0
-10.847931,1
0.000000,0
0.128610,0
-1.249017,0
-0.043555,1
0.834254,0
0.000000,1
0.060245,0
-1.211922,1
2.320847,0
0.000000,0
0.562557,0
-9.764650,1
0.891979,0
0.780127,0
1.123577,0
-1.566599,0
-9.169351,0
1.725686,0
-0.348178,0
1.505701,0
-0.000909,0
-1.374881,0
-1.006490,0
0.000000,0
0.049765,0
-0.438987,0
0.443563,0
2.116315,1
0.833103,1
0.891374,0
0.346576,0
0.000000,0
1.249384,0
0.000000,1
-5.684856,1
-2.810861,0
-1.079827,0
0.998771,0
0.153803,0
0.000000,0
-8.950079,1
-0.352425,0
0.000000,0
1.271061,0
-1.835207,1
0.000000,0
0.000000,0
0.000000,0
-0.570561,0
0.000000,0
0.000000,0
0.000000,0
-3.622896,1
0.000000,0
-13.074664,0
1.636143,0
-7.612630,0
-4.431777,1
0.000000,0
-2.078659,1
0.000000,0
-3.705320,0
0.000000,0
0.000000,0
0.000000,0
-0.729107,0
-0.971484,0
0.163959,0
1.395776,0
-0.869198,0
2.020569,0
0.754595,0
0.718595,0
0.051638,0
3.259482,0
-1.798564,0
-0.178754,1
-0.935568,0
-0.239152,0
-1.218652,0
0.307168,0
-0.050313,0
0.000000,0
-2.442784,0
0.000000,0
0.000000,0
0.000000,1
-1.130633,1
-0.388815,0
-3.211232,0
-3.644553,0
-0.404596,0
0.376546,1
0.000000,0
-0.278913,0
-1.541713,0
-0.866296,1
-1.150744,1
0.135825,0
-3.954629,1
-1.325847,1
-0.437493,0
-1.435332,0
-0.578136,0
0.620412,0
-0.385875,0
-4.101603,0
-0.127140,0
0.000000,0
0.000000,0
0.944003,0
-0.192978,0
0.000000,0
-2.418149,1
0.287223,0
-0.124768,0
-0.733907,0
-0.448755,0
0.565271,0
0.924504,0
-0.309859,0
-0.107400,0
2.169057,0
-0.983671,1
-0.499971,0
0.000000,0
-1.170359,0
-0.145400,0
-0.456777,0
1.523981,0
1.918911,1
1.524827,0
0.803018,0
0.319148,0
2.224824,0
-2.002370,0
-0.231512,0
0.589600,0
-0.844007,0
-0.088397,0
0.000000,0
0.000000,0
2.591961,0
0.434126,1
-7.276192,1
1.470543,0
0.424462,0
-1.349433,0
0.452254,0
0.000000,0
0.020644,0
0.000000,0
-3.951733,0
0.000000,1
-0.464692,0
0.029289,0
-2.939971,1
1.428743,0
1.391294,0
0.000000,0
-1.123705,1
1.890820,0
0.608904,0
0.346491,0
0.000000,0
-0.476723,0
4.835010,0
0.000000,0
0.000000,0
0.850825,0
-2.658168,0
0.068566,0
4.038638,0
0.024850,1
1.076834,0
-0.178928,0
-0.661456,0
0.267013,0
0.025017,0
0.826675,0
-0.347093,0
0.000000,0
8.441032,1
-0.325598,0
-1.011599,0
0.590631,0
-0.049723,0
0.541143,0
0.659026,0
2.635221,0
4.397237,0
0.583814,0
1.408279,0
-0.715612,0
0.027282,0
2.978008,0
-1.120707,0
0.506585,0
0.520574,0
2.462978,0
0.107202,0
0.000000,0
-0.398942,1
0.000000,0
0.000000,0
-1.564587,0
-0.182681,0
-0.043048,0
-0.152818,0
1.941310,0
0.165880,1
-0.506954,0
-2.361177,0
0.000000,0
0.000000,0
-0.224733,0
-1.315419,0
0.279554,0
-1.093133,0
0.000000,0
0.152485,0
0.000000,0
0.330489,0
-0.459008,0
1.090442,0
-0.837549,1
-1.256449,0
0.000000,0
1.826381,0
0.835683,0
-1.247835,0
-1.547943,0
1.702837,0
-0.646085,0
-5.910955,0
-0.104614,0
0.927873,0
0.000000,0
-2.384758,0
-2.527269,1
0.002825,0
0.278745,0
-0.686333,1
0.331381,0
0.000000,0
0.000000,0
-0.526156,0
-4.299638,0
-1.488849,0
1.157470,0
0.963999,0
1.035868,0
-0.566694,0
0.000000,0
-0.714345,0
-0.651300,0
0.000000,0
0.000000,0
0.000000,0
-0.605002,0
1.558630,1
3.209087,0
0.667859,0
0.000000,0
-0.535847,1
0.341938,0
-4.038297,0
0.393349,0
0.000000,0
0.488318,0
-2.085742,0
-1.272302,0
2.120256,0
0.040323,0
-1.256788,1
1.161469,0
-1.380499,0
1.481190,0
0.086073,0
0.000000,0
0.217063,1
3.471210,0
-0.089046,0
-1.921931,1
0.000000,0
0.000000,0
0.570572,0
0.000000,1
0.659696,0
0.000000,0
0.093760,0
0.834254,0
0.615530,1
0.039973,0
-4.148164,0
0.000000,0
-0.351897,0
-0.373210,0
-0.445458,0
-5.515582,1
0.780127,0
0.872949,0
-0.726572,0
0.660479,0
-0.348178,0
2.099397,0
-1.374881,0
-1.006490,0
0.000000,0
0.049765,0
2.116315,1
0.000000,0
0.000000,0
0.138775,0
-0.113958,0
0.153803,0
0.261865,0
0.451487,1
-0.110161,0
0.198157,0
0.000000,0
0.000000,0
-1.145026,0
-0.334409,0
0.879801,0
0.000000,0
0.000000,0
-0.388798,0
0.000000,0
-0.971484,0
-2.286707,0
1.395776,0
0.718595,0
0.051638,0
3.259482,0
-1.798564,0
-11.568646,1
-0.239152,0
0.307168,0
0.085694,0
0.000000,0
0.000000,0
0.000000,0
-0.355039,0
-4.273379,0
0.000000,1
0.707987,0
1.111976,0
0.369927,0
-0.009901,0
-0.418349,0
-0.594072,0
0.000000,0
1.612432,1
-1.270123,0
-1.679603,0
0.135825,0
0.000000,0
0.756351,1
0.551672,0
0.000000,1
-1.663766,1
0.768754,0
0.161311,0
-9.469314,1
-5.538474,0
-0.192978,0
0.000000,0
0.000000,0
0.000000,0
0.277448,0
1.307069,0
0.287223,0
0.653545,1
0.000000,0
-2.174331,0
1.014591,0
0.000000,0
0.924504,0
0.422315,0
0.900657,0
0.498755,0
0.000000,0
-0.960834,0
-0.107400,0
-0.428006,0
0.374022,0
-0.073218,0
1.111595,0
1.768744,0
0.000000,0
-0.145400,0
3.927213,1
-0.895499,0
0.609989,0
0.000000,0
0.000000,1
-0.882558,0
0.000000,0
0.434126,1
-4.297924,0
0.602469,0
0.000000,0
0.000000,0
-0.920328,0
-0.069636,0
0.029289,0
-2.939971,1
1.428743,0
0.133499,0
0.000000,0
1.005865,0
0.346491,0
0.116493,0
0.000000,0
0.000000,0
-0.985022,1
-0.243534,0
0.850825,1
-0.047562,0
0.273724,0
0.085946,0
-0.285670,1
1.404560,0
-0.294648,0
-2.288478,0
0.000000,0
-0.538839,0
1.105983,0
-2.019338,1
-0.069967,0
0.541143,0
7.015948,1
0.000000,0
0.756406,0
4.351166,0
-0.468780,0
-0.239774,1
-0.809061,0
-1.171415,0
-3.861404,0
0.000000,0
0.027282,0
0.761672,0
-0.703531,0
-1.659887,0
0.019206,0
-4.069948,0
-0.814656,0
-0.088770,0
0.165880,0
0.000000,0
-1.060078,0
-1.684218,0
-1.093133,0
0.705836,0
0.000000,0
0.152485,0
0.000000,0
-0.459008,0
0.931960,0
0.175006,0
0.524963,0
-1.256449,0
-6.344352,1
-2.887957,0
2.100773,0
0.835683,1
-1.247835,0
-14.142410,1
-3.135593,1
-5.910955,1
-5.113456,1
0.000000,0
0.927873,0
0.667866,0
0.462921,1
-2.384758,0
0.000000,0
0.002825,0
0.000000,1
0.278745,0
-5.731905,0
1.901312,0
0.000000,0
0.726539,0
0.211852,0
0.000000,0
0.050369,0
-0.526156,0
-4.299638,1
-0.680498,0
-1.488849,0
-3.386357,0
-2.589510,0
0.000000,1
-0.566694,0
-1.102089,0
0.000000,1
-0.714345,0
0.000000,0
0.570323,0
0.000000,1
0.000000,0
0.000000,0
-0.874254,1
0.496178,0
-0.940282,0
9.549837,1
-0.807126,0
0.667859,0
1.099620,0
0.000000,0
-0.535847,0
0.000000,0
-2.883340,1
-0.376802,0
-2.913408,0
0.000000,0
0.000000,0
0.000000,0
0.486086,0
-0.652369,0
-0.033621,0
-0.214825,0
0.040323,0
0.000000,1
1.161469,0
0.000000,0
1.481190,0
0.000000,0
-0.778589,1
-3.209942,0
0.000000,1
2.035206,0
0.128610,0
-19.367820,1
0.834254,0
0.039973,0
0.000000,0
0.060693,0
-0.245324,0
0.594150,0
0.000000,0
0.569697,0
0.000000,0
0.780127,0
1.123577,0
0.872949,0
-0.726572,0
-9.169351,1
0.000000,0
-0.000909,0
-0.309119,0
-1.374881,0
-1.006490,0
0.000000,0
0.049765,0
-0.438987,0
0.094073,1
2.116315,1
0.531516,0
0.891374,0
-0.647686,0
-2.008243,0
1.257667,0
0.000000,1
-0.388215,1
0.998771,0
0.153803,0
-0.282057,0
0.261865,0
-0.800052,1
0.000000,0
-8.950079,1
0.243153,0
0.000000,0
-1.835207,1
0.000000,1
-0.614380,0
0.000000,0
0.000000,1
0.000000,0
0.000000,0
0.000000,1
0.000000,0
0.000000,1
0.198157,0
-13.074664,1
0.000000,0
1.636143,0
0.879801,0
0.000000,0
0.000000,1
0.000000,0
0.738557,0
-4.604999,0
0.163959,0
-0.869198,1
2.020569,0
0.754595,0
3.259482,0
-1.798564,0
-1.218652,0
0.307168,0
0.538573,0
-0.355039,0
0.000000,1
-0.647365,0
0.707987,0
1.111976,0
-0.917817,0
-0.520143,0
-0.388815,0
-3.211232,0
-0.278913,0
0.000000,1
-0.505915,0
-4.538183,1
-1.401463,0
-0.515416,0
-1.679603,0
-0.645979,1
-1.663766,1
0.768754,0
-0.578136,0
0.161311,0
1.053204,1
-0.245209,0
-9.469314,1
-4.101603,0
-0.502239,0
-0.127140,0
-5.538474,1
0.944003,0
-0.192978,0
0.000000,0
0.000000,0
0.000000,0
-2.418149,1
1.437511,1
0.565271,0
0.924504,0
0.422315,0
1.050311,0
0.498755,0
0.000000,0
0.432648,0
-0.960834,0
-0.428006,0
0.374022,0
0.000000,0
2.169057,0
-0.499971,0
-1.170359,0
-0.145400,0
-5.689162,1
1.523981,0
-0.895499,0
1.918911,0
-8.599754,0
8.895381,0
0.013663,0
0.589600,0
0.000000,0
0.000000,1
1.448740,0
0.000000,0
-11.311509,0
-7.276192,1
0.602469,0
0.000000,1
0.000000,0
-1.349433,0
0.452254,0
0.000000,0
-3.951733,0
1.779419,0
0.000000,0
0.029289,0
-2.939971,1
0.133499,0
0.000000,0
1.005865,0
1.890853,1
-1.123705,1
0.608904,0
0.000000,0
1.444179,0
0.000000,1
4.835010,0
0.000000,0
-1.490095,1
-2.658168,0
0.068566,0
4.038638,0
1.076834,0
-3.400012,0
-0.294648,0
0.000000,0
0.025017,0
-0.285335,1
0.000000,0
1.204817,0
-0.347093,0
-0.325598,1
0.219881,0
-0.069967,0
0.541143,0
0.000000,0
4.351166,0
0.659026,0
0.431751,0
0.583814,0
2.978008,0
0.000000,0
-1.120707,0
-1.123063,0
2.462978,0
0.000000,0
0.761672,0
-0.484556,0
-2.787682,0
0.000000,0
-1.182928,0
0.000000,0
0.000000,1
0.000000,0
0.019206,0
-0.814656,1
-0.152818,0
-0.088770,1
0.539234,0
0.000000,0
-1.060078,1
-1.315419,0
0.000000,0
-1.093133,0
-1.009497,0
0.000000,0
0.000000,0
-0.459008,0
0.931960,1
0.000000,0
1.090442,0
0.524963,0
-6.344352,1
-1.839305,0
-1.247835,0
-1.444957,1
-0.646085,0
-0.690636,0
0.000000,0
-0.759069,0
-2.384758,0
0.042496,0
0.742909,0
0.630940,0
1.901312,0
0.000000,0
-2.032798,1
0.194537,0
-0.526156,0
-0.205232,0
0.530166,0
-0.680498,0
-2.727157,0
-0.660644,0
0.825840,0
-0.888935,0
0.000000,0
-0.807126,0
0.000000,1
0.393349,0
-3.344734,1
0.434079,0
1.162349,0
0.309392,1
0.000000,0
1.501124,0
-1.038095,0
-0.214825,0
0.528704,0
-0.247949,0
0.040323,0
-1.256788,1
0.000000,1
-0.713392,0
1.438414,0
0.170277,0
-10.847931,1
0.000000,0
1.016277,0
-1.989975,0
0.000000,1
0.000000,0
0.928297,0
-0.857843,0
0.000000,1
0.128610,0
0.834254,0
0.261962,0
-0.265380,0
0.000000,0
-1.341020,0
0.574848,1
-3.186779,1
-10.022288,1
0.872949,0
-0.348178,0
-0.644949,0
-4.569726,0
0.000000,0
-1.660207,0
-1.399491,0
0.443563,0
-0.461210,0
-2.114767,0
3.517415,0
0.153803,0
0.078852,0
-0.661367,0
0.980421,0
0.000000,0
0.000000,0
-0.570561,0
0.061209,0
0.000000,0
0.000000,0
1.171421,0
-3.622896,1
-1.300502,0
-5.866275,0
0.752421,0
-1.584232,1
1.175654,0
0.850957,0
-7.612630,0
0.000000,0
-1.314977,1
0.848970,0
-0.655722,0
1.784545,0
0.000000,0
-1.049322,1
-11.534598,0
-0.428127,0
0.193207,0
-0.388798,0
0.475758,0
-0.971484,0
0.098775,0
2.021530,0
-2.286707,0
-2.909584,1
0.000000,1
-0.579463,0
-0.239152,0
-1.218652,0
0.000000,0
0.538573,0
-0.355039,0
0.000000,1
0.707987,0
-0.186410,0
-0.009901,0
-1.158484,0
0.000000,0
-0.491169,0
-0.785699,1
-2.095204,0
0.000000,0
-1.663766,1
-1.728615,1
-0.077913,0
-4.867069,1
-2.418149,1
0.000000,0
0.000000,0
0.000000,1
-1.190036,0
1.768744,0
0.000000,0
0.472284,0
0.611235,0
1.099069,0
-1.065170,0
0.014884,0
3.927213,1
1.523981,0
0.000000,0
-8.599754,0
8.895381,0
0.803018,0
0.906724,0
1.593594,0
-0.088397,0
0.000000,0
-2.347939,0
0.000000,0
0.009632,0
0.000000,1
-0.417871,0
0.000000,1
-0.679300,0
0.424462,0
0.137826,0
0.000000,0
2.214606,1
-2.644616,0
0.736351,0
-3.511663,1
1.098660,1
0.000000,0
0.833819,0
-3.124828,1
0.000000,0
0.451765,1
0.826593,0
-1.490095,1
-2.658168,0
-0.969741,0
1.076834,0
-0.953781,0
0.000000,0
-0.538839,0
0.276981,1
2.612984,0
0.431751,0
0.000000,0
-1.885601,0
1.879919,0
0.000000,0
0.040949,1
0.262528,0
0.184776,0
0.340193,0
0.000000,0
-2.173347,0
2.462978,0
0.000000,0
-1.111085,0
0.000000,0
-0.999208,0
0.000000,0
-0.141400,1
-0.576129,0
-0.927254,1
0.000000,0
-6.686895,1
0.279554,0
0.377877,0
0.705836,0
0.399455,0
-0.459008,0
-1.661388,1
0.000000,0
-6.344352,1
0.000000,1
1.116232,0
-1.839305,0
-1.247835,0
-1.444957,1
1.274226,0
0.956558,0
1.335959,1
0.000000,1
0.000000,0
-2.005483,1
0.667866,0
0.000000,1
-2.384758,0
0.042496,0
0.030359,0
0.279432,1
0.000000,0
0.000000,1
-1.488849,0
-0.660644,0
0.000000,1
1.612913,1
-0.630018,0
0.000000,1
0.570323,0
0.000000,1
-0.797253,1
-3.291018,0
3.019869,0
-14.899060,1
0.225754,0
1.575380,1
0.000000,0
-0.749936,0
0.434079,0
0.309392,0
0.000000,0
1.501124,0
-0.247949,0
0.471200,0
0.040323,0
-1.256788,0
0.000000,1
0.000000,0
-2.491352,0
-10.847931,1
1.016277,0
1.078540,0
0.044475,0
0.834254,0
0.261962,0
0.000000,0
-1.341020,0
0.404609,0
0.000000,0
-10.022288,1
-0.216928,1
0.000000,1
0.872949,0
0.660479,0
-0.348178,0
-4.569726,1
0.000000,0
-1.399491,0
-0.279366,0
-0.647686,0
0.000000,1
0.998771,0
-0.461210,0
3.517415,0
0.000000,0
0.261865,0
0.000000,0
0.000000,1
0.000000,0
0.259265,0
-0.041938,0
0.000000,0
-0.570561,0
0.000000,0
1.171421,0
0.000000,0
0.000000,0
0.752421,0
-1.584232,1
-8.375839,0
0.000000,0
0.000000,1
0.848970,0
-0.655722,0
1.784545,0
0.506611,0
-6.441180,1
0.383193,0
0.000000,0
-0.388798,0
0.475758,0
-0.729107,0
0.000000,0
2.021530,0
-2.286707,0
0.000000,0
0.499763,0
0.000000,0
-2.909584,1
0.718595,0
-0.178754,0
-0.239152,0
0.000000,0
0.538573,0
0.000000,0
-0.355039,0
0.000000,1
0.000000,1
-0.186410,1
-1.158484,0
-0.402228,0
-1.553335,0
2.675123,1
-1.539503,1
0.464999,0
0.696402,0
-0.284584,0
-0.217899,1
-2.095204,0
-0.605893,1
0.224050,0
-1.270123,0
2.367527,0
0.000000,1
0.000000,0
0.000000,0
0.000000,0
-2.174331,0
0.000000,1
-0.960834,1
-0.682099,0
2.126236,0
-1.190036,1
0.000000,0
-1.065170,0
0.014884,0
0.694266,0
8.895381,0
0.870195,0
-18.497514,1
-2.002370,1
1.593594,0
0.000000,0
0.000000,0
-2.347939,0
2.591961,0
0.000000,0
-0.417871,0
0.504222,0
0.230626,0
-2.644616,1
0.736351,0
1.779419,0
0.133499,0
0.000000,0
-1.502759,0
-2.115025,1
0.833819,0
-3.124828,1
-1.720239,0
1.444179,0
-0.624658,0
0.000000,0
0.684854,0
-1.615211,0
-1.490095,1
0.431963,0
0.000000,0
0.237241,0
0.000000,0
2.635221,0
0.000000,0
-0.197736,0
0.040949,0
0.473598,0
0.000000,0
-10.087074,1
0.000000,1
0.184776,0
0.000000,0
0.340193,1
0.108380,1
0.000000,1
0.000000,1
-0.242326,0
0.107202,0
-1.111085,0
-0.899524,1
0.000000,0
0.000000,0
0.000000,0
0.077010,0
-0.814656,0
0.257613,0
0.165880,0
0.000000,0
0.000000,0
0.279554,0
0.310612,0
0.000000,0
-1.729335,0
-1.009497,0
0.000000,1
0.251875,0
-1.256449,0
0.000000,0
1.557892,0
-6.344352,0
1.116232,0
-0.646085,0
0.000000,1
0.949587,0
0.956558,0
0.132493,0
0.000000,1
0.000000,0
0.000000,1
0.000000,0
-2.384758,0
-0.539750,0
0.435727,0
0.279432,0
0.000000,0
0.796122,0
-0.354049,0
0.000000,1
0.000000,1
-1.488849,0
0.000000,1
0.000000,1
1.612913,1
-0.630018,0
0.355875,0
0.000000,0
-3.291018,0
1.023692,1
0.000000,0
-4.104579,1
0.415986,0
0.225754,0
0.341938,0
0.000000,1
0.258365,1
0.000000,0
-4.038297,0
0.393349,0
0.434079,0
0.486086,0
1.494441,0
-0.866625,1
-0.232288,0
0.000000,0
0.556149,0
-1.272302,0
-0.862934,0
-0.430238,0
-2.491352,0
1.438414,0
0.170277,0
0.000000,1
0.000000,0
3.387028,0
0.000000,0
0.000000,1
0.044475,0
0.474559,0
0.834254,0
-0.265380,0
0.000000,0
-1.341020,0
0.347208,0
-1.057203,1
1.015746,0
0.000000,0
1.937957,0
-0.373210,0
0.924530,0
0.000000,0
-0.445458,0
0.780127,0
0.359189,0
0.000000,0
-0.305580,0
-1.374881,0
-0.402714,1
-1.334584,0
-0.276569,0
0.000000,1
-0.647686,0
0.000000,0
0.000000,1
0.998771,0
-2.114767,0
0.119623,0
0.099533,0
0.000000,1
0.000000,0
0.261865,0
-0.800052,0
-0.661367,0
0.980421,0
1.130284,0
-0.080006,0
0.000000,0
-3.622896,1
2.264749,0
0.000000,1
0.000000,0
-0.081553,0
0.389732,1
-1.106544,1
-8.375839,0
0.000000,0
-0.879207,0
0.000000,0
-0.636777,0
-7.612630,0
-0.292864,1
0.848970,0
-0.361941,0
-9.360432,1
0.738557,0
0.000000,0
0.475758,0
0.000000,0
-2.059994,0
-0.178754,1
-0.476714,0
-0.239152,0
-1.330673,0
0.538573,0
-0.731064,0
-0.009901,0
-0.104982,0
-0.402228,0
-0.491169,0
-0.404596,0
0.696402,0
-0.284584,0
-0.217899,0
0.923493,0
-5.382235,1
1.567593,0
0.756351,1
-1.663766,1
2.367527,0
-4.867069,1
0.000000,1
0.000000,0
0.000000,0
-2.174331,0
-5.189762,1
0.000000,0
0.000000,1
0.000000,1
-0.682099,0
-0.428006,0
2.126236,0
-1.190036,0
0.000000,1
1.768744,0
-0.868633,0
0.611235,0
-5.329423,1
0.000000,0
-9.129899,1
0.000000,1
0.000000,0
8.895381,0
0.870195,0
-18.497514,1
-0.882558,0
-2.002370,0
-0.742777,0
1.593594,0
0.629632,0
0.504222,0
0.000000,0
0.683289,0
-1.502759,0
-1.720239,0
0.000000,0
1.444179,1
-0.624658,0
0.171915,0
0.000000,0
0.850825,1
0.684854,0
-1.615211,0
-1.490095,1
-0.969741,0
-0.648079,0
-2.777663,0
0.431963,0
0.273724,0
-0.661456,0
-1.464226,1
0.000000,0
0.038861,0
0.237241,0
0.000000,0
0.975657,0
0.473598,0
0.000000,0
-0.054705,0
0.000000,1
0.000000,0
2.978008,0
-1.123063,0
2.462978,0
0.000000,1
-0.257218,0
-0.221047,0
0.000000,0
0.000000,0
0.000000,0
0.000000,0
-0.814656,0
-1.754964,1
-1.109136,0
-1.454584,0
-0.576129,0
0.000000,0
-0.927254,0
0.000000,0
0.749219,0
0.000000,0
-0.281726,0
-0.930859,1
0.435825,0
0.705836,1
1.410998,0
-1.009497,0
0.399455,0
-1.538066,0
0.330489,1
-0.459008,0
0.144528,0
0.186187,0
1.090442,0
-1.256449,0
-0.028225,1
2.190904,1
6.964326,1
6.964326,1
4.270446,1
-3.193099,1
-1.125629,1
0.433532,1
0.127743,1
2.086136,1
-1.429046,1
2.070081,1
1.959650,1
10.480938,1
1.119284,1
1.219197,1
1.633268,1
4.095565,1
4.095565,1
2.176764,1
-3.536039,1
-0.017928,1
-0.972256,1
0.270110,1
-0.411861,1
-1.173468,1
0.297043,1
0.461228,1
-0.425686,1
-1.113305,1
3.601044,1
-0.742197,1
1.792285,1
0.492597,1
0.648983,1
-16.300497,1
5.067284,1
0.417843,1
1.515361,1
0.360713,1
0.514317,1
-2.892627,1
0.804036,1
-0.109732,1
-1.701709,1
2.026443,1
-8.401056,1
6.014352,1
6.014352,1
-0.372366,1
1.492905,1
1.522173,1
-0.151076,1
-0.151076,1
0.317566,1
-0.492602,1
-1.652115,1
0.542773,1
8.614583,1
-1.322642,1
1.586368,1
-0.637878,1
0.631557,1
-0.754184,1
6.048815,1
1.052891,1
1.052891,1
0.262495,1
0.262495,1
-0.393797,1
-3.476226,1
2.549121,1
-19.934288,1
-19.934288,1
-1.258132,1
-0.321537,1
-5.207130,1
-1.491637,1
-1.488235,1
-1.089075,1
-1.089075,1
-2.807479,1
0.216768,1
0.391063,1
-4.047460,1
-0.021275,1
1.371750,1
1.251904,1
0.578609,1
0.725536,1
-2.262745,1
1.113292,1
1.113292,1
2.043543,1
1.202035,1
0.669664,1
0.544623,1
1.273246,1
0.204911,1
2.038111,1
-0.964822,1
0.026841,1
-0.426935,1
-0.402800,1
-0.327075,1
-8.649107,1
4.307264,1
1.736860,1
1.065442,1
9.298040,1
9.298040,1
0.226906,1
2.120393,1
-0.778226,1
-0.481925,1
1.715469,1
11.881980,1
0.170080,1
-0.460078,1
-1.042672,1
3.059062,1
5.021479,1
-0.453002,1
-4.210186,1
0.750709,1
0.529446,1
-0.637167,1
-2.152146,1
0.027564,1
-5.394665,1
0.095123,1
-0.795908,1
1.716339,1
0.031782,1
-3.312042,1
-1.199017,1
0.071846,1
-8.447570,1
0.668713,1
-1.911646,1
-1.911646,1
0.036441,1
-1.227154,1
1.710812,1
-3.852784,1
-2.066184,1
-0.097819,1
-3.828416,1
-0.906753,1
0.721844,1
0.733422,1
2.308363,1
1.529316,1
1.093974,1
-0.937156,1
-1.176430,0
-0.271690,0
0.000000,0
0.850039,0
0.000000,0
-0.523270,0
-2.982535,0
-1.396189,1
-0.122534,0
1.066648,0
1.223140,1
0.000000,1
0.000000,0
0.000000,0
-0.924849,0
-0.401347,0
-1.438504,0
0.417400,0
-1.145140,1
1.369601,1
0.000000,0
0.000000,0
0.900848,0
-7.710955,0
-2.832234,0
-1.048357,0
-0.475668,0
0.827250,0
-1.647445,0
-0.429221,0
-1.749766,0
-2.978356,1
0.000000,0
-2.068369,0
0.000000,0
-1.094003,0
0.349957,0
0.000000,0
-0.121705,0
1.636743,0
0.000000,0
1.931874,0
-1.197547,0
0.000000,0
-4.458659,1
0.137461,0
0.837358,0
-1.573622,0
-2.696001,1
